"title","score","release_date","platform"
"Accounting+",74,"2017-12-19","ps4"
"Ace Banana",40,"2016-10-13","ps4"
"Ace of Seafood",NA,"2017-11-09","ps4"
"Aces of the Luftwaffe",NA,"2015-05-19","ps4"
"ACT IT OUT! A Game of Charades",NA,"2016-01-05","ps4"
"Action Henk",73,"2016-03-08","ps4"
"Active Soccer 2 DX",NA,"2017-07-25","ps4"
"Adam's Venture: Origins",53,"2016-04-01","ps4"
"ADK Tamashii",NA,"2017-02-24","ps4"
"ADR1FT",56,"2016-07-15","ps4"
"AdVenture Capitalist",NA,"2016-08-16","ps4"
"Adventure Pop",NA,"2017-01-31","ps4"
"Adventure Time: Finn and Jake Investigations",NA,"2015-10-20","ps4"
"Adventure Time: Pirates of the Enchiridion",NA,"2018-07-17","ps4"
"Adventures of Pip",74,"2015-08-18","ps4"
"Aegis Defenders",78,"2018-02-08","ps4"
"Aegis of Earth: Protonovus Assault",57,"2016-03-15","ps4"
"AER: Memories of Old",70,"2017-10-25","ps4"
"AereA",46,"2017-06-30","ps4"
"AeternoBlade",NA,"2015-08-04","ps4"
"AFL Evolution",NA,"2017-05-05","ps4"
"Afro Samurai 2: Revenge of Kuma Volume One",21,"2015-09-22","ps4"
"Agatha Christie's The ABC Murders",67,"2016-02-23","ps4"
"Agents of Mayhem",62,"2017-08-15","ps4"
"Agony",NA,"2018-05-29","ps4"
"AIPD - Artificial Intelligence Police Department",62,"2016-01-29","ps4"
"Air Conflicts Double Pack",NA,"2016-09-20","ps4"
"Air Conflicts: Pacific Carriers",NA,"2015-11-03","ps4"
"Air Conflicts: Secret Wars - Ultimate Edition",NA,"2017-04-04","ps4"
"Air Conflicts: Secret Wars - Ultimate Edition",NA,"2017-04-04","ps4"
"Air Conflicts: Vietnam Ultimate Edition",30,"2014-09-16","ps4"
"Air Force Special Ops Nightfall",NA,"2017-06-20","ps4"
"AirMech Arena",NA,"2015-05-05","ps4"
"Akiba's Beat",55,"2017-05-16","ps4"
"Akiba's Trip: Undead & Undressed",57,"2014-11-25","ps4"
"Albedo: Eyes from Outer Space",55,"2016-02-02","ps4"
"Albert & Otto: The Adventure Begins",NA,"2018-01-16","ps4"
"Alchemic Jousts",65,"2016-11-22","ps4"
"Alchemist's Castle",NA,"2018-03-27","ps4"
"Alekhine's Gun",36,"2016-03-01","ps4"
"Alien Shooter",NA,"2016-03-08","ps4"
"Alien: Isolation",79,"2014-10-07","ps4"
"Alien: Isolation - Corporate Lockdown",NA,"2014-10-28","ps4"
"Alien: Isolation - Crew Expendable",NA,"2014-10-07","ps4"
"Alien: Isolation - Last Survivor",NA,"2014-10-14","ps4"
"Alien: Isolation - Lost Contact",NA,"2015-02-10","ps4"
"Alien: Isolation - Safe Haven",NA,"2015-01-13","ps4"
"Alien: Isolation - The Trigger",NA,"2015-03-03","ps4"
"Alien: Isolation - Trauma",NA,"2014-12-02","ps4"
"Alienation",79,"2016-04-26","ps4"
"All-Star Fruit Racing",NA,"2018-07-24","ps4"
"Allumette",NA,"2016-10-13","ps4"
"Alone With You",72,"2016-08-23","ps4"
"Alteric",NA,"2017-10-11","ps4"
"Always Sometimes Monsters",NA,"2017-10-10","ps4"
"Amazing Discoveries In Outer Space",71,"2016-02-02","ps4"
"America's Army: Proving Grounds",NA,"2017-06-27","ps4"
"America's Greatest Game Shows: Wheel of Fortune & Jeopardy!",NA,"2017-11-07","ps4"
"Amnesia Collection",78,"2016-11-22","ps4"
"Among the Sleep",66,"2016-07-26","ps4"
"Amplitude",74,"2016-01-05","ps4"
"Ancient Amuletor",60,"2017-06-27","ps4"
"Ancient Amuletor: Blossom Dance",NA,"2018-02-16","ps4"
"Ancient Amuletor: Into the Ice",NA,"2017-08-29","ps4"
"Angry Birds Star Wars",47,"2013-11-15","ps4"
"Anima: Gate of Memories",52,"2016-06-07","ps4"
"Anima: Gate of Memories - The Nameless Chronicles",NA,"2018-06-19","ps4"
"Animal Super Squad",NA,"2018-05-15","ps4"
"Anomaly 2",74,"2014-09-16","ps4"
"Another World: 20th Anniversary Edition",53,"2014-07-08","ps4"
"Anoxemia",60,"2017-03-28","ps4"
"Antiquia Lost",NA,"2017-09-05","ps4"
"anywhereVR",NA,"2017-10-06","ps4"
"anywhereVR: Beijing China Selection",NA,"2018-01-09","ps4"
"AO International Tennis",48,"2018-05-08","ps4"
"AO Tennis",44,"2018-01-16","ps4"
"APB: Reloaded",NA,"2017-03-31","ps4"
"Ape Escape 2",NA,"2016-08-02","ps4"
"Apex Construct",72,"2018-02-20","ps4"
"Apollo 11 VR Experience",NA,"2016-11-01","ps4"
"Apotheon",76,"2015-02-03","ps4"
"Aqua Kitty: Milk Mine Defender DX",74,"2014-11-25","ps4"
"Aqua Moto Racing Utopia",64,"2016-11-29","ps4"
"Aqua TV",NA,"2017-12-12","ps4"
"Aragami",71,"2016-10-10","ps4"
"Arc the Lad: Twilight of the Spirits",NA,"2016-01-12","ps4"
"Arcade Archives: A-Jax",NA,"2015-09-08","ps4"
"Arcade Archives: Bomb Jack",NA,"2015-08-18","ps4"
"Arcade Archives: Bubble Bobble",NA,"2016-03-15","ps4"
"Arcade Archives: Buta San",NA,"2015-07-14","ps4"
