"title","score","release_date","platform"
"Ball Platformer",NA,"2018-03-02","pc"
"Ballad of Solar",NA,"2014-05-22","pc"
"Ballads of Reemus: When the Bed Bites",NA,"2015-04-24","pc"
"Ballance",NA,"2006-10-25","pc"
"Ballanced",NA,"2016-09-13","pc"
"Ballbot",NA,"2014-11-17","pc"
"Ballerium",NA,"2006-03-28","pc"
"Ballin",NA,"2012-05-02","pc"
"Ballistic",NA,"2017-02-20","pc"
"Ballistic",NA,"2012-02-09","pc"
"Ballistic Attack",NA,"2017-07-14","pc"
"Ballistic Overkill",NA,"2015-10-08","pc"
"Ballistic Protection",NA,"2016-10-12","pc"
"Ballistic Tanks",NA,"2016-09-20","pc"
"Ballistick",NA,"2016-10-15","pc"
"Ballistics",71,"2001-10-22","pc"
"Ballistik",NA,"2005-12-30","pc"
"Balloon",NA,"2018-02-07","pc"
"Balloon Blast",NA,"2004-09-14","pc"
"Balloon Blowout",NA,"2016-10-28","pc"
"Balloon Chair Death Match",NA,"2016-12-13","pc"
"Balloon guy",NA,"2018-03-16","pc"
"Balloon Popping Pigs: Deluxe",NA,"2017-01-30","pc"
"Balloon Strike",NA,"2018-05-18","pc"
"Ballpoint Universe",NA,"2013-12-17","pc"
"Ballpoint Universe: Infinite",NA,"2013-05-10","pc"
"Balls and Magnets",NA,"2018-02-02","pc"
"Balls of Steel",NA,"1997-12-12","pc"
"Balls! Virtual Reality Cricket",NA,"2016-09-28","pc"
"Ballway",NA,"2017-07-20","pc"
"Ballz: Farm",NA,"2018-01-23","pc"
"Balrum",NA,"2016-02-29","pc"
"Balthazar's Dream",NA,"2017-05-24","pc"
"Bambino Rally 3",NA,"2016-10-13","pc"
"Bamboo EP",NA,"2016-12-15","pc"
"Banana Bugs",NA,"2010-06-02","pc"
"BANANO BROS.",NA,"2017-11-01","pc"
"Band Manager",NA,"2008-12-04","pc"
"Band of Bugs",NA,"2007-12-03","pc"
"Band of Defenders",NA,"2018-04-05","pc"
"Band Of Drones",NA,"2014-09-17","pc"
"Band of Outlaws",NA,"2017-08-22","pc"
"Bandit Skies",NA,"2013-11-25","pc"
"Bandits: Phoenix Rising",73,"2003-03-28","pc"
"Bane of Asphodel",NA,"2018-04-21","pc"
"BANG BANG BANG!",NA,"2016-10-26","pc"
"Bang Bang Fruit",NA,"2017-02-14","pc"
"Bang Bang Fruit 2",NA,"2017-10-20","pc"
"Bang Bang Racing",NA,"2012-06-08","pc"
"Bang! Gunship Elite",68,"2000-07-19","pc"
"Bang! Howdy",NA,"2006-12-01","pc"
"Bang! The Spaghetti-Western Boardgame",NA,"2010-12-21","pc"
"BanHammer",NA,"2015-12-14","pc"
"Banished",73,"2014-02-18","pc"
"Bank Limit: Advanced Battle Racing",NA,"2016-08-16","pc"
"Bankster",NA,"2017-12-15","pc"
"Bannerman",NA,"2017-08-31","pc"
"Banyu Lintar Angin: Little Storm",NA,"2018-01-11","pc"
"Banzai Escape",NA,"2016-02-29","pc"
"BANZAI PECAN: The Last Hope for the Young Century",NA,"2012-08-06","pc"
"Baobabs Mausoleum - Ep. 1: Ovnifagos Don't Eat Flamingos",69,"2017-07-06","pc"
"Baobabs Mausoleum - Ep. 2: 1313 Barnabas Dead End Drive",69,"2018-02-22","pc"
"BAPTISM",NA,"2017-11-30","pc"
"Baptize Billy",NA,"2018-04-18","pc"
"BARBAR BAR",NA,"2017-06-02","pc"
"Barbara-ian",NA,"2017-01-16","pc"
"Barbarian - The Death Sword",NA,"2011-12-05","pc"
"Barbarian Brawl",NA,"2015-02-12","pc"
"Barbarian the Ultimate Warrior",NA,"2011-12-05","pc"
"Barbie and Her Sisters: Puppy Rescue",NA,"2015-12-17","pc"
"Barbie and the Magic of Pegasus",NA,"2005-09-14","pc"
"Barbie and the Three Musketeers",NA,"2009-10-27","pc"
"Barbie as Rapunzel: A Creative Adventure",NA,"2002-11-15","pc"
"Barbie as The Island Princess",NA,"2007-10-30","pc"
"Barbie as the Princess and the Pauper",NA,"2004-09-09","pc"
"Barbie Beach Vacation",NA,"2001-10-03","pc"
"Barbie Beauty Boutique",NA,"2003-08-22","pc"
"Barbie Dreamhouse Party",NA,"2013-11-19","pc"
"Barbie Fashion Show",NA,"2004-08-17","pc"
"Barbie Fashion Show: Eye for Style",NA,"2008-09-23","pc"
"Barbie Horse Adventures: Mystery Ride",NA,"2003-09-16","pc"
"Barbie Horse Adventures: Riding Camp",NA,"2008-10-28","pc"
"Barbie in The 12 Dancing Princesses",NA,"2006-10-30","pc"
"Barbie Riding Club",NA,"1998-09-30","pc"
"Barbie Sparkling Ice Show",NA,"2002-11-15","pc"
"Barbie Super Sports",NA,"2001-04-21","pc"
"Barbie: Pet Rescue",NA,"2000-02-21","pc"
"Barclay: The Marrowdale Murder",NA,"2017-03-17","pc"
"Bard to the Future",NA,"2015-02-27","pc"
"Bard's Gold",58,"2015-08-14","pc"
"Bardbarian",NA,"2014-04-01","pc"
"Bare Metal",NA,"2017-12-01","pc"
"Barkley, Shut Up and Jam: Gaiden, Chapter 1 of the Hoopz Barkley SaGa",NA,"2008-01-20","pc"
"Barnyard",67,"2006-08-01","pc"
"Barnyard Invasion",NA,"2005-02-04","pc"
"Barnyard Mahjong 3",NA,"2016-07-29","pc"
"Baron Wittard: Nemesis of Ragnarok",NA,"2011-02-18","pc"
"Barony",NA,"2015-05-20","pc"
"Barrage",NA,"1998-09-30","pc"
"BARRAGE",NA,"2018-04-18","pc"
"Barrage Musical: A Fantasy of Tempest",NA,"2017-10-05","pc"
"Barrel Time Deluxe",NA,"2018-05-18","pc"
"Barren Roads",NA,"2015-06-01","pc"
"BARRIER X",NA,"2016-05-27","pc"
"Barrimean Jungle",NA,"2017-11-19","pc"
"Barro",NA,"2018-03-27","pc"
"Barrow Hill: Curse of the Ancient Circle",65,"2006-08-25","pc"
"Barrow Hill: The Dark Path",NA,"2016-09-22","pc"
"Bars and Balance",NA,"2017-11-10","pc"
"Barter Empire",NA,"2015-02-06","pc"
"Baru and the Spirit Prince",NA,"2014-12-12","pc"
"Base Raid",NA,"2016-11-17","pc"
"Baseball 2000",NA,"1999-03-31","pc"
"Baseball Edition 2000",NA,"1999-04-30","pc"
"Baseball Kings VR",NA,"2018-04-11","pc"
"Baseball Mogul",NA,"1997-06-30","pc"
"Baseball Mogul 2002",76,"2001-03-31","pc"
"Baseball Mogul 2003",73,"2002-04-30","pc"
"Baseball Mogul 2004",71,"2003-03-06","pc"
"Baseball Mogul 2006",74,"2005-03-15","pc"
"Baseball Mogul 2007",78,"2006-04-12","pc"
"Baseball Mogul 2008",74,"2007-03-20","pc"
"Baseball Mogul 2009",65,"2008-10-21","pc"
"Baseball Mogul 2011",NA,"2010-03-26","pc"
"Baseball Mogul 2015",NA,"2015-07-24","pc"
"Baseball Mogul 2017",NA,"2017-08-08","pc"
"Baseball Mogul 2018",NA,"2018-04-24","pc"
"Baseball Mogul Diamond",NA,"2016-08-09","pc"
"Baseball Riot",NA,"2015-12-09","pc"
"Baseball Stars 2",NA,"2016-04-27","pc"
"Bashi Blocks",NA,"2011-03-23","pc"
"Bashville",NA,"2018-02-27","pc"
"Basingstoke",NA,"2018-04-27","pc"
"Basketball Babe",NA,"2016-10-02","pc"
"Basketball Court VR",NA,"2017-04-04","pc"
"Basketball Pro Management 2014",NA,"2013-12-12","pc"
"Basketball Pro Management 2015",69,"2014-11-19","pc"
"BasketBelle",NA,"2014-12-09","pc"
"BasketDudes",NA,"2011-06-16","pc"
"Baskhead",NA,"2016-07-19","pc"
"Baskhead Training",NA,"2017-04-21","pc"
"BASMENT DWELLERS",NA,"2016-11-22","pc"
"Bass Avenger",NA,"2000-09-28","pc"
"Bass Blocks",NA,"2014-01-02","pc"
"Bass Pro Shops: The Strike",NA,"2009-10-06","pc"
"Bass Pro Shops: Trophy Bass 2007",NA,"2006-11-20","pc"
"Bass Pro Shops: Trophy Hunter 2007",NA,"2006-11-20","pc"
"Bass Tournament Tycoon",NA,"2007-02-08","pc"
"Bastard",NA,"2018-05-14","pc"
"Bastard Bonds",NA,"2016-06-15","pc"
"Bastion",86,"2011-08-16","pc"
"Bastion: Stranger's Dream",NA,"2011-12-14","pc"
"Bathory: The Bloody Countess",NA,"2016-07-07","pc"
"Bathroom Chef",NA,"2018-05-22","pc"
"Batla",NA,"2015-05-14","pc"
"Batman Forever: The Arcade Game",NA,"1996-11-30","pc"
"Batman: Arkham Asylum",91,"2009-09-15","pc"
"Batman: Arkham Asylum - Game of the Year Edition",NA,"2010-03-26","pc"
"Batman: Arkham City",91,"2011-11-21","pc"
"Batman: Arkham City - Challenge Map Pack",NA,"2011-12-20","pc"
"Batman: Arkham City - Game of the Year Edition",NA,"2012-09-07","pc"
"Batman: Arkham City - Harley Quinn's Revenge",NA,"2012-05-29","pc"
"Batman: Arkham City - Nightwing Bundle Pack",NA,"2011-11-01","pc"
"Batman: Arkham City - Robin Bundle Pack",NA,"2011-11-22","pc"
"Batman: Arkham Knight",70,"2015-06-23","pc"
"Batman: Arkham Knight - A Flip of a Coin",NA,"2015-11-24","pc"
"Batman: Arkham Knight - A Matter of Family",NA,"2015-10-28","pc"
"Batman: Arkham Knight - Catwoman's Revenge",NA,"2015-11-24","pc"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 1",NA,"2015-10-28","pc"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 2",NA,"2015-10-28","pc"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 3",NA,"2015-10-28","pc"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 4",NA,"2015-11-24","pc"
"Batman: Arkham Knight - Crime Fighter Challenge Pack 5",NA,"2015-12-22","pc"
"Batman: Arkham Knight - GCPD Lockdown",NA,"2015-10-28","pc"
"Batman: Arkham Knight - Harley Quinn Story Pack",NA,"2015-10-28","pc"
"Batman: Arkham Knight - Red Hood Story Pack",NA,"2015-10-28","pc"
"Batman: Arkham Knight - Season of Infamy: Most Wanted",NA,"2015-12-22","pc"
"Batman: Arkham Knight - WayneTech Track Pack",NA,"2015-11-24","pc"
"Batman: Arkham Origins",74,"2013-10-24","pc"
"Batman: Arkham Origins - Black Mask Challenge Pack",NA,"2013-11-26","pc"
"Batman: Arkham Origins - Cold, Cold Heart",71,"2014-04-22","pc"
"Batman: Arkham Origins - Initiation",NA,"2013-12-03","pc"
"Batman: Arkham Origins Blackgate - Deluxe Edition",60,"2014-04-01","pc"
"Batman: Arkham VR",NA,"2017-04-25","pc"
"Batman: The Enemy Within - Episode 1: The Enigma",76,"2017-08-08","pc"
"Batman: The Enemy Within - Episode 2: The Pact",71,"2017-09-26","pc"
"Batman: The Enemy Within - Episode 3: The Fractured Mask",71,"2017-11-21","pc"
"Batman: The Enemy Within - Episode 4: What Ails You",77,"2018-01-22","pc"
"Batman: The Enemy Within - Episode 5: Same Stitch",85,"2018-03-26","pc"
"Batman: The Enemy Within - The Telltale Series",84,"2017-08-08","pc"
"Batman: The Telltale Series",64,"2016-08-02","pc"
"Batman: The Telltale Series - Episode 1: Realm of Shadows",74,"2016-08-02","pc"
"Batman: The Telltale Series - Episode 2: Children of Arkham",73,"2016-09-20","pc"
"Batman: The Telltale Series - Episode 3: New World Order",73,"2016-10-25","pc"
"Batman: The Telltale Series - Episode 4: Guardian of Gotham",73,"2016-11-22","pc"
"Batman: The Telltale Series - Episode 5: City of Light",75,"2016-12-13","pc"
"Batman: Vengeance",57,"2002-10-08","pc"
"BATTER BURST",NA,"2018-05-07","pc"
"Batter Up! VR",NA,"2017-07-14","pc"
"Battle Academy",NA,"2014-04-16","pc"
"Battle Academy - Operation Sealion",NA,"2012-01-15","pc"
"Battle Academy 2 - Battle of Kursk",NA,"2015-03-26","pc"
"Battle Academy 2: Eastern Front",77,"2014-09-12","pc"
"Battle Arena Toshinden",NA,"1996-04-30","pc"
"Battle Battalions",NA,"2015-11-03","pc"
"Battle Brawlers",NA,"2018-06-05","pc"
"Battle Brothers",80,"2017-03-24","pc"
"Battle Bruise",NA,"2017-04-26","pc"
"Battle Carry",NA,"2005-10-12","pc"
"Battle Castles",NA,"2005-12-12","pc"
"Battle Chasers: Nightwar",79,"2017-10-03","pc"
"Battle Chef Brigade",80,"2017-11-20","pc"
"Battle Chess: Game of Kings",NA,"2014-03-17","pc"
"Battle Crust",NA,"2016-02-25","pc"
"Battle Dawn Galaxies",NA,"2011-03-25","pc"
"Battle Dome",NA,"2016-06-08","pc"
"Battle Engine Aquila",65,"2003-10-23","pc"
"Battle Fantasia: Revised Edition",58,"2015-07-07","pc"
"Battle Fleet 2",NA,"2014-07-19","pc"
"Battle Fleet: Ground Assault",NA,"2018-05-01","pc"
"Battle for Blood",NA,"2015-07-08","pc"
"Battle for Enlor",NA,"2017-04-12","pc"
"Battle for Gea",NA,"2014-07-14","pc"
"Battle for Midway",NA,"1999-07-29","pc"
"Battle for Orion 2",NA,"2017-03-23","pc"
"Battle for Presidency",NA,"2014-06-04","pc"
"Battle for the last chicken",NA,"2017-12-18","pc"
"Battle For The Sun",NA,"2015-07-22","pc"
"Battle for Troy",NA,"2004-03-05","pc"
"Battle for Wesnoth",NA,"2008-04-07","pc"
"Battle Forever",NA,"2016-06-11","pc"
"Battle Girls",NA,"2017-07-06","pc"
"Battle Ground Training",NA,"2018-04-18","pc"
"Battle Group",NA,"2012-01-25","pc"
"Battle Group 2",NA,"2014-06-13","pc"
"Battle High 2",NA,"2013-03-18","pc"
"Battle High 2 A+",NA,"2017-12-15","pc"
"Battle Ion",NA,"2018-03-09","pc"
"Battle Islands",NA,"2014-08-06","pc"
"Battle Isle: The Andosia War",70,"2000-11-29","pc"
"Battle Knights",NA,"2016-08-31","pc"
"Battle Mages",NA,"2014-05-30","pc"
"Battle Mages: Sign of Darkness",NA,"2014-07-24","pc"
"Battle Nations",NA,"2014-04-18","pc"
"Battle of Britain",NA,"1999-02-28","pc"
"Battle of Britain 70th Anniversary",NA,"2010-06-17","pc"
"Battle of Britain II: Wings of Victory",75,"2005-09-12","pc"
"Battle of Britain: Memorial Flight",NA,"2003-05-22","pc"
"Battle of cubes",NA,"2018-03-28","pc"
"Battle of Europe",54,"2006-03-23","pc"
"Battle of Frigates",NA,"2017-09-21","pc"
"Battle Of Keys",NA,"2018-03-21","pc"
"Battle of Painters",NA,"2017-06-20","pc"
"Battle of Red Cliffs VR",NA,"2017-11-01","pc"
"Battle of the Bulge",NA,"2015-09-17","pc"
"Battle of the Immortals",NA,"2010-03-10","pc"
"BATTLE PIXELS",NA,"2016-01-14","pc"
"Battle Ranch",NA,"2015-02-02","pc"
"Battle Realms",82,"2001-11-07","pc"
"Battle Realms: Winter of the Wolf",71,"2002-11-11","pc"
"Battle Riders",NA,"2017-04-26","pc"
"Battle Roses!",NA,"2018-02-08","pc"
"Battle Royale Bootcamp",NA,"2018-05-23","pc"
"Battle Royale Trainer",NA,"2018-01-04","pc"
"Battle Runner",NA,"2017-11-30","pc"
"Battle Slots",72,"2011-04-14","pc"
"Battle Squadron",NA,"2015-06-30","pc"
"Battle Tag",NA,"2010-11-20","pc"
"Battle Tank Armada",NA,"2016-09-29","pc"
"Battle Test: A Nissan Rogue 360 VR Experience",NA,"2017-03-31","pc"
"Battle Tiers Invasion",NA,"2011-09-15","pc"
"Battle Trendaria",NA,"2017-11-10","pc"
"Battle Worlds: Kronos",71,"2013-11-04","pc"
"BATTLE ZOMBIE SHOOTER: SURVIVAL OF THE DEAD",NA,"2018-05-18","pc"
"Battle: Los Angeles",38,"2011-03-11","pc"
"BattleBall",NA,"2013-03-22","pc"
"BattleBlock Theater",85,"2014-05-15","pc"
"Battleborn",69,"2016-05-03","pc"
"Battleborn - Attikus and the Thrall Rebellion",NA,"2016-10-13","pc"
"BATTLECREW Space Pirates",NA,"2017-01-31","pc"
"Battlecruiser 3000 A.D.",NA,"1996-09-30","pc"
"Battlecruiser Millennium",68,"2001-11-18","pc"
"Battlecruiser Millennium: Gold Edition",NA,"2003-04-04","pc"
"Battlecursed",NA,"2018-02-07","pc"
"Battlefield 1",88,"2016-10-21","pc"
"Battlefield 1942",89,"2002-09-10","pc"
"Battlefield 1942 Deluxe Edition",NA,"2003-10-21","pc"
"Battlefield 1942: Secret Weapons of WWII",79,"2003-09-04","pc"
"Battlefield 1942: The Complete Collection",NA,"2005-10-26","pc"
"Battlefield 1942: The Road to Rome",84,"2003-02-02","pc"
"Battlefield 1942: World War II Anthology",NA,"2004-04-16","pc"
"Battlefield 1: Apocalypse",NA,"2018-02-20","pc"
"Battlefield 1: Giant's Shadow",NA,"2016-12-13","pc"
"Battlefield 1: In the Name of the Tsar",82,"2017-09-05","pc"
"Battlefield 1: Revolution",NA,"2017-08-21","pc"
"Battlefield 1: They Shall Not Pass",76,"2017-03-14","pc"
"Battlefield 1: Turning Tides",NA,"2017-12-11","pc"
"Battlefield 2",91,"2005-06-21","pc"
"Battlefield 2142",80,"2006-10-17","pc"
"Battlefield 2142 Deluxe Edition",NA,"2008-01-17","pc"
"Battlefield 2142: Northern Strike",77,"2007-03-08","pc"
"Battlefield 2: Booster Pack Collection",NA,"2006-11-20","pc"
"Battlefield 2: Complete Collection",NA,"2007-03-13","pc"
"Battlefield 2: Deluxe Edition",NA,"2006-06-06","pc"
"Battlefield 2: Euro Force",71,"2006-03-15","pc"
"Battlefield 2: Special Forces",77,"2005-11-21","pc"
"Battlefield 3",89,"2011-10-25","pc"
"Battlefield 3: Aftermath",85,"2012-12-04","pc"
"Battlefield 3: Armored Kill",87,"2012-09-11","pc"
"Battlefield 3: Back to Karkand",86,"2011-12-13","pc"
"Battlefield 3: Close Quarters",73,"2012-06-26","pc"
"Battlefield 3: End Game",78,"2013-03-26","pc"
"Battlefield 3: Premium Edition",NA,"2012-09-11","pc"
"Battlefield 4",81,"2013-10-29","pc"
"Battlefield 4: China Rising",NA,"2013-12-03","pc"
"Battlefield 4: Community Operations",NA,"2015-10-27","pc"
"Battlefield 4: Dragon's Teeth",NA,"2014-07-15","pc"
"Battlefield 4: Final Stand",NA,"2014-11-18","pc"
"Battlefield 4: Legacy Operations",NA,"2015-12-15","pc"
"Battlefield 4: Naval Strike",74,"2014-04-15","pc"
"Battlefield 4: Night Operations",NA,"2015-09-01","pc"
"Battlefield 4: Premium Edition",NA,"2014-10-21","pc"
"Battlefield 4: Second Assault",77,"2013-12-03","pc"
"Battlefield Academy",NA,"2010-08-05","pc"
"Battlefield Alliance",NA,"2017-07-28","pc"
"Battlefield Hardline",71,"2015-03-17","pc"
"Battlefield Hardline: Criminal Activity",NA,"2015-06-30","pc"
"Battlefield Hardline: Getaway",NA,"2016-01-26","pc"
"Battlefield Hardline: Robbery",NA,"2015-09-16","pc"
"Battlefield Heroes",69,"2009-06-25","pc"
"Battlefield Vietnam",84,"2004-03-14","pc"
"Battlefield: Bad Company 2",87,"2010-03-02","pc"
"Battlefield: Bad Company 2 Vietnam",86,"2010-12-18","pc"
"Battlefield: Play4Free",68,"2011-03-10","pc"
"Battlefleet Gothic: Armada",77,"2016-04-21","pc"
"Battlefood",NA,"2015-04-27","pc"
"BattleForge",75,"2009-03-23","pc"
"Battlefront",NA,"2007-02-08","pc"
"Battleground 3: Waterloo",NA,"1996-05-31","pc"
"BattleGround 3D",NA,"2013-10-30","pc"
"Battleground 4: Shiloh",NA,"1997-01-31","pc"
"Battleground 5: Antietam",NA,"1996-12-31","pc"
"Battleground 6: Napoleon in Russia",NA,"1997-04-30","pc"
"Battleground 7: Bull Run",NA,"1997-04-30","pc"
"Battleground 8: Prelude to Waterloo",NA,"1997-09-30","pc"
"Battleground Europe: World War II Online",73,"2006-08-01","pc"
"Battlegrounds of Eldhelm",NA,"2013-11-11","pc"
"Battlegun",NA,"2017-08-09","pc"
"Battleline: Steel Warfare",NA,"2016-08-25","pc"
"BattleLite",NA,"2014-09-10","pc"
"BattleLore: Command",NA,"2015-03-31","pc"
"Battlemass",NA,"2012-05-16","pc"
"Battlemass 2",NA,"2015-01-20","pc"
"Battlepaths",NA,"2012-12-07","pc"
"Battlepillars",NA,"2014-04-28","pc"
"Battleplan: American Civil War",66,"2014-07-04","pc"
"BattleQuiz",NA,"2015-09-03","pc"
"Battlerite",85,"2017-11-08","pc"
"Battles in Italy",NA,"2005-05-25","pc"
"Battles in Normandy",NA,"2004-09-13","pc"
"Battles of Norghan",NA,"2016-09-26","pc"
"Battles of the Ancient World",NA,"2017-09-15","pc"
"Battles of the Valiant Universe CCG",NA,"2017-05-09","pc"
"Battlescope",NA,"2012-03-27","pc"
"Battleship",NA,"1996-09-30","pc"
"Battleship",NA,"2013-06-10","pc"
"Battleship Bishojo",NA,"2017-03-29","pc"
"Battleship Chess",NA,"2004-05-23","pc"
"Battleship Lonewolf",NA,"2017-11-23","pc"
"Battleship Lonewolf 2",NA,"2018-02-08","pc"
"Battleship: Surface Thunder",65,"2000-10-15","pc"
"Battleships at Dawn!",NA,"2016-07-05","pc"
"Battleships Forever",NA,"2007-01-01","pc"
"Battlesloths 2025: The Great Pizza Wars",NA,"2017-06-06","pc"
"BattleSouls",NA,"2016-05-12","pc"
"BattleSpace",NA,"2012-05-25","pc"
"BattleSport",NA,"1997-06-30","pc"
"Battlestar Galactica",45,"2007-10-23","pc"
"Battlestar Galactica Deadlock",77,"2017-08-31","pc"
"Battlestar Galactica Online",NA,"2011-02-08","pc"
"Battlestations: Midway",76,"2007-01-30","pc"
"Battlestations: Pacific",74,"2009-05-12","pc"
"BattleStick",NA,"2016-05-06","pc"
"BattleStorm",NA,"2016-03-24","pc"
"Battlestrike: Force Of Resistance",NA,"2008-07-29","pc"
"Battlestrike: Western and Eastern Front",NA,"2009-04-07","pc"
"Battleswarm: Field of Honor",NA,"2009-11-17","pc"
"Battletank LOBA",NA,"2015-03-17","pc"
"Battletank: L.O.B.A.",NA,"2014-02-06","pc"
"BattleTech",79,"2018-04-24","pc"
"Battletech: Solaris",NA,"1997-03-31","pc"
"BattleTime",NA,"2016-09-29","pc"
"Battlevoid: Harbinger",NA,"2016-02-24","pc"
"Battlevoid: Sector Siege",NA,"2017-10-25","pc"
"Battlezone",NA,"2017-05-11","pc"
"Battlezone",NA,"1998-02-28","pc"
"Battlezone 98 Redux",75,"2016-04-18","pc"
"Battlezone II: Combat Commander",NA,"1999-12-31","pc"
"BattleZone: Airhunt",NA,"2012-07-31","pc"
"Battlezone: Combat Commander",68,"2018-03-01","pc"
"Battlezone: Gold Edition",NA,"2018-05-01","pc"
"Bawl Mawl Death",NA,"2014-07-24","pc"
"Baxter's Venture",NA,"2015-07-30","pc"
"Bayla Bunny",NA,"2016-06-13","pc"
"Bayonetta",90,"2017-04-11","pc"
"Bayou Island - Point and Click Adventure",NA,"2017-02-28","pc"
"Bazaar",NA,"2016-03-28","pc"
"BC Kings",NA,"2009-06-16","pc"
"BCT Commander",61,"2002-02-23","pc"
"Be a King",NA,"2009-02-10","pc"
"Be a King 2",NA,"2010-06-27","pc"
"Be Rich",NA,"2009-01-08","pc"
"Be Richer",NA,"2009-09-08","pc"
"Be Richest!",NA,"2012-08-04","pc"
"Beach Ball Valley",NA,"2016-04-05","pc"
"Beach Bounce",NA,"2015-08-14","pc"
"Beach Bowling Dream VR",NA,"2017-01-13","pc"
"Beach Head 2002",46,"2002-01-14","pc"
"Beach Head: Desert War",NA,"2003-06-01","pc"
"Beach Party Craze",NA,"2008-09-05","pc"
"Beach Resort Simulator",NA,"2014-11-28","pc"
"Beach Restaurant",NA,"2018-01-09","pc"
"Beach Rules",NA,"2018-01-04","pc"
"Beach Soccer",NA,"2003-03-04","pc"
"BeachHead 2000",46,"2000-06-14","pc"
"bead",NA,"2017-07-13","pc"
"Beam Breakers",61,"2002-10-21","pc"
"Bean Farmer Pinball",NA,"2015-03-21","pc"
"Bean's Quest",NA,"2012-02-26","pc"
"Beans: The Coffee Shop Simulator",NA,"2017-07-01","pc"
"BeanVR",NA,"2017-05-30","pc"
"Bear Football",NA,"2017-07-30","pc"
"Bear Haven Nights",NA,"2016-01-29","pc"
"Bear Simulator",NA,"2016-02-26","pc"
"Bear With Me",NA,"2016-08-08","pc"
"Bear With Me: Episode 1",68,"2016-08-08","pc"
"Bear With Me: Episode Three",79,"2017-10-05","pc"
"Bear With Me: Episode Two",76,"2017-02-15","pc"
"Beard & Axe",NA,"2018-07-12","pc"
"Bears Can't Drift!?",NA,"2016-08-08","pc"
"BEARZERKERS",NA,"2015-10-23","pc"
"Beast Blaster",NA,"2016-03-01","pc"
"Beast Boxing Turbo",NA,"2013-02-05","pc"
"Beast Mode: Night of the Werewolf",NA,"2017-06-22","pc"
"Beast Quest",NA,"2018-03-13","pc"
"Beast Wars: Transformers",NA,"1998-05-31","pc"
"Beastiarium",NA,"2016-12-05","pc"
"Beastmancer",NA,"2017-10-05","pc"
"Beasts Battle",NA,"2016-06-15","pc"
"Beasts Battle 2",NA,"2018-02-01","pc"
"Beasts of Prey",NA,"2014-06-05","pc"
"Beat Blades Haruka",NA,"2016-02-29","pc"
"Beat Boxer",NA,"2016-11-22","pc"
"Beat Cop",71,"2017-03-30","pc"
"Beat da Beat",NA,"2016-03-10","pc"
"Beat Hazard",70,"2010-04-15","pc"
"Beat Hazard Ultra",NA,"2011-06-16","pc"
"Beat Ninja",NA,"2016-07-13","pc"
"Beat the Blitz",NA,"2018-03-01","pc"
"Beat The Dictators",NA,"2016-08-30","pc"
"Beat The Game",55,"2017-09-07","pc"
"BEAT.R.",NA,"2017-09-28","pc"
"BeatBlasters III",56,"2014-02-21","pc"
"BeatBoxer+",NA,"2013-09-03","pc"
"Beatbuddy: On Tour",NA,"2015-12-04","pc"
"Beatbuddy: Tale of the Guardians",75,"2013-08-06","pc"
"Beatdown",NA,"1999-04-30","pc"
"Beater Spirit",NA,"2016-06-01","pc"
"Beats Fever",NA,"2017-01-10","pc"
"Beautiful Japanese Scenery: Animated Jigsaws",NA,"2016-09-15","pc"
"Beauty Bounce",NA,"2017-02-22","pc"
"Beauty Factory",22,"2008-10-03","pc"
"Beavers Be Dammed",NA,"2018-01-16","pc"
"Beavis & Butt-head in Screen Wreckers",NA,"1996-11-16","pc"
"Beavis & Butt-head: Calling All Dorks",NA,"1996-10-06","pc"
"Beavis and Butt-head: Bunghole in One",NA,"1998-12-31","pc"
"Bebop and Tempo",NA,"2017-06-19","pc"
"Beckett",NA,"2018-02-27","pc"
"Becky Brogan: The Institute",NA,"2010-10-14","pc"
"Becky Brogan: The Mystery of Meane Manor!",NA,"2010-02-15","pc"
"Bedfellows FRENZY",NA,"2017-02-23","pc"
"Bedlam",NA,"1996-09-30","pc"
"Bedlamball",NA,"2018-04-19","pc"
"Bee Logic",NA,"2014-10-04","pc"
"Bee Movie Game",70,"2007-10-30","pc"
"BeefeaterXO",NA,"2017-02-14","pc"
"BeeFense",NA,"2017-04-13","pc"
"Beeftacular",NA,"2016-08-26","pc"
"Beekyr : Eco Shoot'em up",NA,"2014-07-10","pc"
"Beekyr Reloaded",NA,"2016-12-01","pc"
"Beekyr: Eco Shoot'em up",NA,"2014-07-10","pc"
"beem",NA,"2012-10-10","pc"
"BEEP",NA,"2011-03-03","pc"
"Beer and Skittls VR",NA,"2018-03-29","pc"
"Beer Pong VR",NA,"2018-03-03","pc"
"Beer Ranger",NA,"2018-02-19","pc"
"Beer!",NA,"2018-02-14","pc"
"Beer, Babes and Dragons",NA,"2017-09-15","pc"
"Beerman",NA,"2016-08-03","pc"
"Bees Knees",NA,"2017-09-04","pc"
"Beeswing",NA,"2015-05-08","pc"
"Beetle Buggin'",NA,"2000-02-29","pc"
"Beetlejuice: Bad as Can",NA,"2017-08-14","pc"
"Before the Echo",70,"2011-10-20","pc"
"Beginner'sGame",NA,"2018-05-05","pc"
"Beglitched",NA,"2016-10-07","pc"
